# emoji	category	en keywords	bn keywords	parent	name
😀	smileys	cheerful,cheery,face,grin,grinning,happy,laugh,nice,smile,smiling,teeth,grinning face,joy	দেঁতো হাসি,মুখ,মুখে দেঁতো হাসি,হাসি,খুশি,আনন্দ		grinning face
😃	smileys	awesome,big,eyes,face,grin,grinning,happy,mouth,open,smile,smiling,teeth,yay,grinning face with big eyes,with,smiley,joy,excited	খোলা,ঠোঁট,বড় বড় চোখ করে হাসি মুখ,ব্যক্তি,মুখ,হাসি,খুশি		grinning face with big eyes
😄	smileys	eye,eyes,face,grin,grinning,happy,laugh,lol,mouth,open,smile,smiling,grinning face with smiling eyes,with,joy,cheerful	খোলা,খোলা মুখে চোখে হাসির সাথে মুখে হাসি,চোখ,ঠোঁট,মুখ,হাসি,খুশি,আনন্দ		grinning face with smiling eyes
😁	smileys	beaming,eye,eyes,face,grin,grinning,happy,nice,smile,smiling,teeth,beaming face with smiling eyes,with	চোখ,চোখে হাসির সাথে মুখে দেঁতো হাসি,দাঁত,দেঁতো হাসি,মুখ,হাসি,খুশি		beaming face with smiling eyes
😆	smileys	closed,eyes,face,grinning,haha,hahaha,happy,laugh,lol,mouth,open,rofl,smile,smiling,squinting,grinning squinting face,laughing,satisfied,funny	খোলা,চোখ বন্ধ,চোখ বন্ধ করে দেঁতো হাসি,জোরে হাসা,ঠোঁট,মুখ,সন্তুষ্ট,হা হা হা,হাসতে হাসতে,হাসি,মজা		grinning squinting face
😅	smileys	cold,dejected,excited,face,grinning,mouth,nervous,open,smile,smiling,stress,stressed,sweat,grinning face with sweat,with,relief,laugh,phew	উত্তেজিত,কপালে টেনশন মুখে হাসি,খোলা,ঘর্মাক্ত অবস্থা,ঘাম,ঠান্ডা,মুখ,মুখ খোলা এবং ঠাণ্ডা ঘামের সাথে মুখে হাসি,হাসি		grinning face with sweat
🤣	smileys	crying,face,floor,funny,haha,happy,hehe,hilarious,joy,laugh,lmao,lol,rofl,roflmao,rolling,tear,rolling on the floor laughing,on,the,laughing	গড়াগড়ি,চোখে জল,চোখে পানি,মাটি,মুখ,স্মাইলি,হাসি,হেসে মাটিতে লুটোপুটি খাওয়া,মজা,অট্টহাসি		rolling on the floor laughing
😂	smileys	crying,face,feels,funny,haha,happy,hehe,hilarious,joy,laugh,lmao,lol,rofl,roflmao,tear,face with tears of joy,with,tears,of	আনন্দ,আনন্দের কান্না ভরা মুখ,কান্না,চোখে পানি,জোরে হাসা,মুখ,হা হা হা,হাসতে হাসতে চোখে জল,হাসিকান্না,হাসি,মজা		face with tears of joy
🙂	smileys	face,happy,slightly,smile,smiling,slightly smiling face,slight,ok,fine,content	মুখ,মুখে সামান্য হাসি,হাসি		slightly smiling face
🙃	smileys	face,hehe,smile,upside-down,upside-down face	উল্টো,ওল্টানো চেহারা,মাথাটা নিচে তলাটা উপরে এমন মুখ,মুখ		upside-down face
